Frame,Luminance value,base line
525,166.9917975,base line
526,166.9923876,base line
527,166.9924774,base line
528,166.9922689,base line
529,166.9919724,base line
530,166.9912907,base line
531,166.9913923,base line
532,166.992017,base line
533,166.991892,base line
534,166.9917325,base line
535,166.9918871,base line
536,166.9919568,base line
537,166.9922147,base line
538,166.9917351,base line
539,166.9914765,base line
540,166.9920151,base line
541,166.9922839,base line
542,166.9919532,base line
543,166.9922479,base line
544,166.9922334,base line
545,166.9922306,base line
546,166.992238,base line
547,166.9922013,base line
548,166.9922053,base line
549,166.9924173,base line
550,166.9923908,base line
551,166.9924697,base line
552,166.9928725,base line
553,166.9925688,base line
554,166.9920893,base line
555,166.9928861,base line
556,166.9922093,base line
557,166.9924098,base line
558,166.9922818,base line
559,166.9907785,base line
560,166.991691,base line
561,166.9915273,base line
562,166.9916897,base line
563,166.9915607,base line
564,166.9918136,base line
565,166.9915,base line
566,166.9921528,base line
567,166.9915667,base line
568,166.9917866,base line
569,166.992165,base line
570,166.992094,base line
571,166.9915454,base line
572,166.9920173,base line
573,166.992278,base line
574,166.9916949,base line
575,166.9917492,base line
576,166.992154,base line
577,166.9919444,base line
578,166.9919457,base line
579,166.9917753,base line
580,166.99152,base line
581,158.6149346,
582,158.6168353,
583,158.6179591,
584,158.6573587,
585,158.6403364,
586,158.6549934,
587,158.6594312,
588,158.66124,
589,158.6895288,
590,158.6970968,
591,158.7217691,
592,158.7338003,
593,158.6704055,
594,158.7107096,
595,158.7104335,
596,158.6860139,
597,158.578089,
598,158.3500804,
599,159.0550125,
600,161.9035993,
601,161.9060523,
602,162.0984617,
603,161.7623179,
604,161.4447752,
605,161.4501051,
606,161.1195698,
607,161.0030437,
608,160.9068499,
609,160.8390847,
610,160.8099907,
611,160.8309423,
612,160.7775482,
613,160.7165811,
614,160.7694805,
615,160.7751788,
616,160.8146149,
617,160.8531755,
618,160.8183091,
619,160.8690988,
620,160.8837597,
621,161.0361712,
622,161.1242974,
623,161.2229203,
624,161.3316849,
625,161.3257183,
626,161.5793073,
627,161.818992,
628,161.8532611,
629,161.8677856,
630,161.9249936,
631,161.8863196,
632,161.7723437,
633,161.6619029,
634,161.5771301,
635,161.408638,
636,161.1971925,
637,161.1041516,
638,161.1074139,
639,160.7711947,
640,160.3210469,
641,160.0095667,
642,159.762573,
643,159.7625259,
644,159.4996385,
645,158.9702939,
646,158.4479857,
647,157.7312866,
648,157.7275555,
649,157.1732462,
650,155.98558,
651,155.0451248,
652,155.0759139,
653,154.5683495,
654,154.3874225,
655,154.1724515,
656,153.9281932,
657,153.9310036,
658,154.0088795,
659,154.0279201,
660,154.0281209,
661,154.2717489,
662,154.2494914,
663,154.481767,
664,154.6343048,
665,154.8870737,
666,155.3428667,
667,155.3455355,
668,155.9249777,
669,156.316888,
670,156.8377863,
671,157.203851,
672,157.2030226,
673,157.4020162,
674,157.3886627,
675,157.4203985,
676,157.4203246,
677,157.8363295,
678,158.7696707,
679,159.3051626,
680,160.2454156,
681,160.2468862,
682,160.6009908,
683,160.8943426,
684,161.1799694,
685,161.9390125,
686,161.925419,
