Second,Luminance,base line
476,166.9921955,base line
477,166.9924442,base line
478,166.9922747,base line
479,166.9920302,base line
480,166.9919959,base line
481,166.9918513,base line
482,166.9920043,base line
483,166.9917108,base line
484,166.9920705,base line
485,166.9919101,base line
486,166.9920405,base line
487,166.9917246,base line
488,166.99209,base line
489,166.9917746,base line
490,166.9919282,base line
491,166.9919206,base line
492,166.9917036,base line
493,166.9918474,base line
494,166.9918997,base line
495,166.9916593,base line
496,166.9919875,base line
497,166.9922171,base line
498,166.9917939,base line
499,166.9918016,base line
500,166.9910629,base line
501,166.9918208,base line
502,166.9919254,base line
503,166.9915914,base line
504,166.9918448,base line
505,166.9920867,base line
506,166.9919834,base line
507,166.9919134,base line
508,166.9918511,base line
509,166.9919666,base line
510,166.9920058,base line
511,166.9920715,base line
512,166.9917691,base line
513,166.9921224,base line
514,166.9921543,base line
515,166.9920603,base line
516,166.9920737,base line
517,166.9923743,base line
518,166.9920682,base line
519,166.9919152,base line
520,166.991923,base line
521,166.992049,base line
522,166.9920847,base line
523,166.9922582,base line
524,166.9917975,base line
525,166.9923876,base line
526,166.9924774,base line
527,166.9922689,base line
528,166.9919724,base line
529,166.9912907,base line
530,166.9913923,base line
531,166.992017,base line
532,166.991892,base line
533,166.9917325,base line
534,166.9918871,base line
535,166.9919568,base line
536,166.9922147,base line
537,166.9917351,base line
538,166.9914765,base line
539,166.9920151,base line
540,166.9922839,base line
541,166.9919532,base line
542,166.9922479,base line
543,166.9922334,base line
544,166.9922306,base line
545,166.992238,base line
546,166.9922013,base line
547,166.9922053,base line
548,166.9924173,base line
549,166.9923908,base line
550,166.9924697,base line
551,166.9928725,base line
552,166.9925688,base line
553,166.9920893,base line
554,166.9928861,base line
555,166.9922093,base line
556,166.9924098,base line
557,166.9922818,base line
558,166.9907785,base line
559,166.991691,base line
560,166.9915273,base line
561,166.9916897,base line
562,166.9915607,base line
563,166.9918136,base line
564,166.9915,base line
565,166.9921528,base line
566,166.9915667,base line
567,166.9917866,base line
568,166.992165,base line
569,166.992094,base line
570,166.9915454,base line
571,166.9920173,base line
572,166.992278,base line
573,166.9916949,base line
574,166.9917492,base line
575,166.992154,base line
576,166.9919444,base line
577,166.9919457,base line
578,166.9917753,base line
579,166.99152,base line
580,158.6149346,
581,158.6168353,
582,158.6179591,
583,158.6573587,
584,158.6403364,
585,158.6549934,
586,158.6594312,
587,158.66124,
588,158.6895288,
589,158.6970968,
590,158.7217691,
591,158.7338003,
592,158.6704055,
593,158.7107096,
594,158.7104335,
595,158.6860139,
596,158.578089,
597,158.3500804,
598,159.0550125,
599,161.9035993,
600,161.9060523,
601,162.0984617,
602,161.7623179,
603,161.4447752,
604,161.4501051,
605,161.1195698,
606,161.0030437,
607,160.9068499,
608,160.8390847,
609,160.8099907,
610,160.8309423,
611,160.7775482,
612,160.7165811,
613,160.7694805,
614,160.7751788,
615,160.8146149,
616,160.8531755,
617,160.8183091,
618,160.8690988,
619,160.8837597,
620,161.0361712,
621,161.1242974,
622,161.2229203,
623,161.3316849,
624,161.3257183,
625,161.5793073,
626,161.818992,
627,161.8532611,
628,161.8677856,
629,161.9249936,
630,161.8863196,
631,161.7723437,
632,161.6619029,
633,161.5771301,
634,161.408638,
635,161.1971925,
636,161.1041516,
637,161.1074139,
638,160.7711947,
639,160.3210469,
640,160.0095667,
641,159.762573,
642,159.7625259,
643,159.4996385,
644,158.9702939,
645,158.4479857,
646,157.7312866,
647,157.7275555,
648,157.1732462,
649,155.98558,
650,155.0451248,
651,155.0759139,
652,154.5683495,
653,154.3874225,
654,154.1724515,
655,153.9281932,
656,153.9310036,
657,154.0088795,
658,154.0279201,
